Difficulty,Puzzle
1.38,[o o o     o o    o     o      o o o           oo]
1.38,[o o oo    o     o             ooo   o o   o     ]
1.38,[    o   oo     oo o        o  o  o         o  oo]
1.38,[oo  oo         o  o     o   o   o o o o         ]
1.38,[oo  o     o o o   o           o o   o      o  o ]
1.38,[o o o         o oo         o  oo         o    oo]
1.38,[o o   o o o o       o         o   o o      o   o]
1.38,[ oo      o     o o  o      o  o o o           oo]
1.38,[o o o o o           oo     o      o o     o   o ]
1.38,[o o     o o  o      o  o   o    o o o         o ]
1.38,[ o  o   o  o     oo    o      o o o           oo]
1.38,[o o o   o o  o      o         o  o o o         o]
1.38,[oo  o       o  ooo            o  o  o      o  o ]
1.38,[o   oo    o     oo  oo          o    o    o    o]
1.38,[oo  oo          o   o     o   o oo   o         o]
1.38,[o o   o   o o   o   o         o o        o    oo]
1.38,[ o      o o   o     o   o  o  o o         o   oo]
1.38,[ o ooo   o        o o         o  o         o  oo]
1.38,[o o  o  o o o  o    o          o  o     o     o ]
1.38,[oo  o     o   o   o        o  o o  o o         o]
1.38,[ oo  o    o o   o   oo          o o o         o ]
1.38,[oo  o        o  o   o       o oo o         o   o]
1.38,[oo  o     o    o  o o         o o          o  oo]
1.38,[o o o     o  o   o            o o o o       o  o]
1.38,[o   o    oo     o      o   o   oo   o     o   o ]
1.38,[ o  oo  o       o o o         o o   oo    o     ]
1.38,[  o  o  o   o   oo    o         o     o   o   oo]
1.38,[o o       o oo   o            o o o o        o o]
1.38,[o   o     o o  ooo            o oo   o         o]
1.38,[ oo o   o o o o                oo o  o         o]
1.38,[o o oo  o          oo         o oo   o         o]
1.38,[oo  o o   o       o o         o o          o  oo]
1.38,[o o o   o o  o      o o         o   o     o   o ]
1.38,[o       o o o  o          oo  o   o  o     o   o]
1.38,[o  oo   o o o  o               o o   o     o   o]
1.38,[oo  o    o    o            o  o ooo          o o]
1.38,[o   oo    o     oo  o         o  o oo        o  ]
1.38,[o o   o o o         o      o  o o o o         o ]
1.38,[o  ooo  o o         o         o o o  o         o]
1.38,[o   o    oo     o     o    o  o o   o     o   o ]
1.38,[o o   o o   o      o          oooo   o         o]
1.38,[ oo oo  o o         o          oo    o    o    o]
1.38,[oo           o  oo  o        o oo   o     o   o ]
1.38,[oo  oo          o o o     o   o  o  o         o ]
1.38,[  o o   o   o  oooo           o          o o   o]
1.38,[o   o    oo    oo          o  o oo  o         o ]
1.38,[oo        o  o    o o  o   o    o o o         o ]
1.38,[o o o     o      o  o  o      o  o         o  oo]
1.38,[o o  o  o o o       o         o o   o o   o     ]
1.38,[o o o     o   o o   oo           o  o   o     o ]
1.38,[o   o  o  o     oo   o         ooo  o         o ]
1.38,[ oo o     o   o  o  oo     o    o   o         o ]
1.38,[o o       o oo   o  o         o o         o   oo]
1.38,[oo  o     o       o o  o      o   o     o     oo]
1.38,[ oo o     o    oo             o oo  o o        o]
1.38,[ oo o     o  oo o             o o         o   oo]
1.38,[oo  o o   o       o o           o    o o   o   o]
1.38,[    o   o o     oo  o  o         o  o      o  oo]
1.38,[      ooo o o      oo       o    o o   o    o   ]
1.38,[o o   o     o   oo  o         o  o      o     oo]
1.38,[o o oo    o      o            o o o o        o o]
1.38,[o o  o    o o   o              oo   oo   o     o]
1.38,[o   o    o    o o o o       o o oo             o]
1.38,[o   oo  o  o     o  o         o oo  o         o ]
1.38,[o o  o  o o o       o         o  o oo         o ]
1.38,[o o   o o o o       o         o  o  o   o      o]
1.38,[o o  o    o o   o   o         o oo   o         o]
1.38,[ oo o     o o    o     o       o o         o o o]
1.38,[o o o o  o       o  oo          o  o          oo]
1.38,[oo  o         o o        oo  oo     o  o      o ]
1.38,[o o  o    o o  o o  o          ooo            o ]
1.38,[ oo o  o        o   o           o o oo        oo]
1.38,[ oo o    o    o  o  oo          o  o          oo]
1.38,[ oo oo  o o         o         o o         o  o o]
1.38,[o   o   o o    o     o    o   o oo  o          o]
1.38,[ oo    o  o      o  o         o o o o  o       o]
1.38,[o   o    oo    oo          o  o oo   o         o]
1.38,[o o   o o o o       o         o oo   o         o]
1.38,[ oo o     o   o o   oo          oo   o         o]
1.38,[oo        o oo      o   o     o o o o         o ]
1.38,[ oo       o    o o  o         o o  o o       o o]
1.38,[oo        o oo    o           o   o oo  o      o]
1.38,[ o    o o   o   oo  oo           o o o         o]
1.38,[ooo            o    o   o  o  o o o o         o ]
1.38,[oo        o    o  o o      o  o   o      o    oo]
1.38,[oo  o       o  oo         o   o oo  o         o ]
1.38,[    o   o o   o oo  o         o o        o    oo]
1.38,[  o o   o     o oo  oo          oo   o         o]
1.38,[o o o    o  o  o o         o  o o    o         o]
1.38,[o o o           oo  ooo         o         o   oo]
1.38,[o   o     o o  ooo            o o   oo    o     ]
1.38,[oo    o     o   oo  o         o oo   o         o]
1.51,[o         o oo  o oo          o o o        o   o]
1.51,[o   o     o   o        o  oo   o oo      o  o   ]
1.56,[oo  o     o   o   o o         o o   o    o     o]
1.56,[     oo    oo   o     o o o       o     o   oo  ]
1.68,[oo    o     o   o o o         o o        o    oo]
1.68,[   o   oo  o o           o   o      o  o  ooo   ]
1.68,[  o   oo o o          oo   o o     o     o    o ]
1.68,[ oo     o o    o    o       o o  o oo         o ]
1.86,[ oo  o          o    o   o o   o        oo   o o]
1.86,[    o  oo o   o o o       o       oo   o    o   ]
1.86,[  o   o o      o o  o      o    oo         o  oo]
1.86,[o      o     o   oo       o  o  o oo         o o]
1.98,[oo   o       o      o  o      o o o    oo  o    ]
1.98,[oo        o  o o    o    o      o    o o o     o]
1.98,[ o o   oo         o  oo       o   o   ooo       ]
1.98,[o   o o   o  o    o   o          o o  o  oo     ]
1.98,[o o oo          o  o     o    o    o     o   o o]
1.98,[o o oo  o          o o      o  o   o     o     o]
1.98,[o o        o  oo  o  oo      o    o    oo       ]
1.98,[o o oo          o   o o   o    o     oo   o     ]
1.98,[o         o o  o     o    o  o o       o  oo o  ]
2.11,[  oo   o     o     o   o oo    o  o o   o       ]
2.11,[  o     o   oo  oo  o         o   o     o   oo  ]
2.11,[o  o     o   oo   o  o       o o  o     o      o]
2.11,[    o o o    o        o  o o o         o  oo  o ]
2.16,[  o o    o         o  oo    o o  o o  o        o]
2.16,[      o o o   oo    o          o o   o  o  o o  ]
2.16,[    o   o oo   o   o o     o        o   oo    o ]
2.16,[o  o          o     o      oo  oo     o o o   o ]
2.16,[ oo o o   o   o o    o              o     oo  o ]
2.16,[   ooo  o           o       o o   ooo   o     o ]
2.20,[   o o        o o o  o  o      o o      o  o  o ]
2.21,[     o    o oo     o    o      o oo     o   o  o]
2.28,[ o    o    o    o    o  o     oo   o      o  o o]
2.28,[       oo  oo o   o  o      o o   o     o      o]
2.28,[o o   o o     o    oo  o             o  oo     o]
2.28,[  oo         o      o  o o   o o       oo  o o  ]
2.28,[  ooo         o     ooo o      o    o   o o     ]
2.28,[o    o    oo    o   oo    o   o    o     o     o]
2.28,[    oo  o o      o  o   o    oo    o o         o]
2.28,[o     oo  o        o    o o     o     oo  o o   ]
2.28,[    o  ooo o         o       o oo o         o  o]
2.28,[o     o  o  o    oo   o          oo o  o   o    ]
2.28,[  o o o   o o    o     o o o       o   o     o  ]
2.28,[ o oo   o     ooo         o    o   oo    o      ]
2.28,[      o o o     o   o    o  o o      o oo o     ]
2.28,[o        o  o o    o   o  o    oo o  o   o      ]
2.28,[ o   oo o    o   o  oo         o  o   o o       ]
2.28,[  o o   o    o o   o       o  o oo     o  o     ]
2.33,[   o    o     oo     o  o o   oo     o   o o    ]
2.33,[     o oo o   o    o  o    o     o o   o    o   ]
2.33,[o o   o o     o    o oo     o         o o  o    ]
2.33,[  o o o   o o    oo    o  o     o           o  o]
2.33,[ o       o     o oo o        o oo    o      o  o]
2.33,[o o  oo    o o    o    o          o o  o  o     ]
2.33,[ o   o o       o oo     o   o    o       o  o  o]
2.33,[ o o  oo           o   o     o   oo   ooo       ]
2.33,[      o o  o   oo       o o o         o    o o o]
2.33,[oo   o       o   o o  o  o  o           o  o o  ]
2.33,[o     o o      oo   o     o  o o         o o o  ]
2.33,[o    o o oo        oo             o    oo o   o ]
2.33,[o   o        o o     o oo o o         o   oo    ]
2.38,[o    o  o o          o     o  oo o o        o  o]
2.38,[     o  o o o             oo  o o    o   o o  o ]
2.38,[  o o  o  o  o o o               ooo o         o]
2.38,[o  o         o     o  o     o  oo o      o    oo]
2.41,[o      o  o o         o   o  oo  o o   o     o  ]
2.41,[       o  oo o   oo      o    oo   oo         o ]
2.41,[o o   o o   o       oo        o o o        o   o]
2.43,[ o   o     oo  o        o  o   o    o    o o o  ]
2.43,[o   o  oo o        o       o   o    o   oo    o ]
2.46,[ o o       o   o        o o ooo        o   o  o ]
2.46,[ o ooo        o o o        o  o  o  o        o  ]
2.46,[o    o o     o   o o        o  o     o o  oo    ]
2.46,[  o o       o   o      o   oo   ooo         o o ]
2.46,[o   o     o     o     o     oo o   o o o  o     ]
2.46,[o   o o  o    o         o oo   o     o oo       ]
2.46,[o     oo o        oo  o o             o o   o o ]
2.46,[o     o  oo o      o   o    o   o oo         o  ]
2.46,[oo   o o       o   oo    oo             o   o o ]
2.46,[o   o     o  oo  o o   o         oo       o   o ]
2.46,[oo    o     o     o o o       o         ooo   o ]
2.46,[  oo   o      o o o o o       o  o  o         o ]
2.46,[   ooo   o         o       o  o o o  o       oo ]
2.46,[   o     o    o        o o  oo  o    o   o   oo ]
2.46,[o            o ooo o  o        oo   o     o o   ]
2.46,[  oo o o    o        o  o          o o  o o    o]
2.46,[       o o o   oo    o  o  o   oo         o    o]
2.46,[o  oo        o     o  o         oo  o  o o o    ]
2.46,[       oo  o  o       o o o  o        o  ooo    ]
2.46,[  o   ooo        ooo  oo         o          o o ]
2.51,[oo    o     o   o    o    o          oo oo     o]
2.51,[  o   o    o     o   o        oo o o      o  o o]
2.51,[ o     o     o     o    o o  o  o  o  o  o     o]
2.51,[ o   oo   o     o o    o    o  o       o o   o  ]
2.51,[o   o o    o           oo o       o  oo    o o  ]
2.51,[  oo   o    oo   o     oo  o               oo o ]
2.51,[o         o o o oo   o o       o   oo     o     ]
2.51,[o  oo o              o   o     o  o   o  oo   o ]
2.51,[ oo      o   o o   o o   o       o    o o   o   ]
2.51,[ o o    oo   o       o o    oo  o o            o]
2.51,[       o  o  o     o    ooo  o     oo  oo       ]
2.53,[     o  oo  o   o   o  o   oo          o o   o  ]
2.56,[  o      o oo          oo    o    o o oo   o    ]
2.56,[   o        o  o o o       o oo o         o  o o]
2.58,[ o   o o     o         ooo  o         o o o    o]
2.58,[ o    o            o o  o      o  o ooo o  o    ]
2.58,[  oo   o     o   o o   oo      o     o     oo   ]
2.58,[  oo o         o o    oo         o o o  o      o]
2.58,[o        o oo  oo     oo  o           o  o  o   ]
2.58,[     o  o   o        o   ooooo o         o   o  ]
2.58,[    o   oo   o           oooo  o   o     o   o  ]
2.58,[ o    oo o         o  o         o   o o  o  o  o]
2.58,[  o   oo o  o     o      oo           oo  o o   ]
2.58,[o   o o o   o     o  o o   o    o o            o]
2.58,[ o    o        o  o    oo   o   oo     o   o o  ]
2.58,[  o   oo  o     o  o     o     o o    o    o   o]
2.58,[  o   o     o   o  oo o        oo    o o o      ]
2.58,[ o     o o   o         o   oo  oo o  o      o   ]
2.58,[    o o    o  ooo           o   oo  o  o o      ]
2.58,[ o     oo     o     o o     o o   o       o o  o]
2.64,[o     o  o  o    o  o     o      o     o  oo   o]
2.64,[o o           oo    o o   o    oo         ooo   ]
2.64,[  oo   o     o   o   o     o    o oo   o       o]
2.64,[ o o o       o  o   ooo        o    o   o o     ]
2.64,[ oo   o         o    o   o o o      o  o  o    o]
2.64,[o      o  o   o o oo   o    o   o    o      o   ]
2.64,[    o   o o           o     oo   oo   ooo    o  ]
2.64,[ o  oo    oo        o    o o  o     oo  o       ]
2.64,[ o          o  o  o     o      o o oo   o   o o ]
2.64,[     o o   o  o o   o     o    ooo o         o  ]
2.64,[o           o  oo o   o   o    o o       o oo   ]
2.64,[ o oo    o      o     o      o    oo o o      o ]
2.64,[o   o        o  ooo o          o o        o   oo]
2.64,[     o  ooo o           oo   o o     o     o   o]
2.64,[    o    o  o  o       o o  o  o  o  o   o   o  ]
2.64,[      o    oo o o    oo  o o        o     o    o]
2.64,[o    o  o o   oo    o       o           o  o o o]
2.64,[      o   oo    o   o          oo o    o  o oo  ]
2.64,[   oo      o  o o          o  oo    o o oo      ]
2.64,[o  o  o     o    o   o oo   o  o     o     o    ]
2.68,[  oo o      o   o o  o       o o o  o         o ]
2.69,[  oo  o     o     o  oo       o o          oo o ]
2.69,[     o   o o o   o  o      o o o    o     o o   ]
2.71,[   o        oo   ooo       o  o         o  o o o]
2.71,[o     o       o     o    oo  o        o o o o o ]
2.71,[  o o   o   o     oo   o      o  o         o o o]
2.71,[ o oo           o   o  o  o       o   ooo  o    ]
2.71,[        o  oo  o     o    o o  o  ooo        o  ]
2.73,[      o   oo    oo     o    o o oo   o    o     ]
2.76,[o    o o        oo   o    o    o          ooo o ]
2.76,[     o  o o o      o          oooo   o     o   o]
2.76,[  oo   o o  o o        o o o o    o           o ]
2.76,[     o  o  o        o  o oo    o   o  o   o    o]
2.76,[ o  o o  o        o o o     o  o   o     o  o   ]
2.76,[o o oo         o  o    o   o        o    o o o  ]
2.76,[   o   o o     oo oo        o   o    o      oo  ]
2.76,[o    o o   o    o  o   o          o o     o oo  ]
2.76,[  o o    o o  oo o         o o o         o     o]
2.76,[     oo o    o    o o   o o     o         o   oo]
2.76,[    o   oo    o  o       o o o   o     o  o  o  ]
2.76,[o    o           ooo  o      o  o  o  ooo       ]
2.76,[      o o o     o   o    o   o o     o  o  o   o]
2.76,[ o o           o         oo ooo    o   o o    o ]
2.76,[o       o  o  oo  o   o   o   o          o   o o]
2.76,[     o  o  oo     o o       o  o   o   o o   o  ]
2.76,[o   o  o  o    o       o  o o   oo  o        o  ]
2.76,[  o  o o      o   o o    o      o oo   o      o ]
2.76,[  o     o      o   o o       oo  o o  oo  o     ]
2.76,[o     o   o        o  o     o o o o     o   oo  ]
2.76,[o        o o  o o  o      o  oo       o  o     o]
2.76,[o   o     o  o  o        o o  o    o     o   oo ]
2.76,[ oo   o    o   o o        o o      o      o o o ]
2.76,[  o        o  o o  o    o     o  o   o  o  o  o ]
2.76,[  o   o  o oo     o     o      oo  o        oo  ]
2.76,[o  o   o         o  o o oo   o       o o   o    ]
2.76,[  o    o     o   oo o   o       oo   o o       o]
2.78,[  o o           oo  o  o   o   oo   o     o   o ]
2.81,[o o       o  o    oo     o   ooo          o  o  ]
2.81,[o     o       o ooo         oo    o o         oo]
2.81,[    o  oo o      ooo    o     oo     o     o    ]
2.81,[o  o           o    oo  o      o   o o   o oo   ]
2.81,[o   o   o o           o   o    oo  o  o     o o ]
2.81,[     o oo o           o o  o   o    o   o   o o ]
2.81,[   o         oo o o o      o   o     o  oo o    ]
2.81,[oo   oo    o      o   o    o     o      o    o o]
2.81,[  o o  o  oo            o  o  o      o  o    o o]
2.81,[o  oo o            o         o  o     oo ooo    ]
2.81,[ o  o o o      o     o o  o o             oo  o ]
2.81,[  o     o     ooo        o  o      ooo    o    o]
2.83,[  o        o   oo    o     o oo o     oo  o     ]
2.86,[ o     o o   o  o o  o  o          o  o      oo ]
2.86,[  o oo  o          o  o o   o    o      o   oo  ]
2.89,[ oo         o  o o  o          o o   o  o  o o  ]
2.89,[     o  o  o o      o  o o   o o        o o o   ]
2.89,[     oo  o o  o  oo     o         ooo         o ]
2.89,[  oo   o     o      o  oo      o   o o   o o    ]
2.89,[        oo  o    o o  o      oo o     o   o    o]
2.89,[o      o   o         ooo o o    oo   o    o     ]
2.89,[   oo o oo   o              o      o   o o  o  o]
2.89,[          o  oo o  o o  o      o o      o  o  o ]
2.89,[  oo o      o    o       o o   o     o  o o   o ]
2.89,[      o  o o o o o         o  oo o      o  o    ]
2.89,[o o o o    o   o     o  o    o     oo         o ]
2.89,[   o       o o  o  o         o ooo  o  o o      ]
2.89,[    oo  o             o o o oo   o o   o       o]
2.89,[   ooo  oo          o o    o  o o         o   o ]
2.89,[o  o          o oo         ooo o  o  o o        ]
2.89,[   o o   o       o        o  ooo   o   oo    o  ]
2.90,[   o  oo o  o        o  o o         o    o o o  ]
2.94,[o   o  o   oo  o         o         ooo o  o     ]
2.94,[     o o   o    o oo o oo          o    o      o]
2.94,[     oo   o   o o   o    o    o  o    oo   o    ]
2.94,[      o oo          o     oo  o     o o   oo o  ]
2.94,[ o         oo  o o       o o o    o oo     o    ]
2.94,[ o         o  ooo   o o o  oo          o  o     ]
2.94,[o      o  oooo     o        o  ooo             o]
2.94,[  o o     o o       o o    o   oo    o o o      ]
2.94,[oo  o o           oo    o    o       o o oo     ]
2.94,[    o o   o       o    ooo o   o     o oo       ]
2.94,[    o o   o    o o   o            oooo  o    o  ]
2.94,[o    o  o   o    oo o o       o          o  o  o]
2.94,[o o  o            oooo  o              o o oo   ]
2.94,[ o oo  o            o     o     oo     o  oo  o ]
2.94,[o     oo oo           o   o oo    o     o     o ]
2.94,[      o   o     oo oo  o  o o o           o  o  ]
2.94,[  o o   oo           o o  o   o o o o       o   ]
2.94,[o  o   o     o       ooo  o     o       o   o o ]
2.94,[o   o  o    o   ooo           o o o o          o]
2.94,[     oo   o  o   o  oo         o o        oo o  ]
2.94,[o        o  oo   o o     o     o        o  o o o]
2.94,[  o  o           oo    oo   o         o  o oo  o]
2.94,[o   o       o    o   o o       o o    o   o o o ]
2.94,[ o     o oo  o     oo            o  o  o o o    ]
2.94,[ o o o          o   o o       o     oo  o  o o  ]
2.94,[o     o   o     oo   oo     o     o oo  o       ]
2.94,[     o   o o o  o  o    o      oo o         oo  ]
2.94,[  ooo          o  o     o o  o  o  o o o        ]
2.94,[o o   o        oo o      o  o     o o       o  o]
2.94,[     o    oo  ooo    o  o         o     o   o o ]
2.94,[o o o o          oo o       o  o   oo   o       ]
2.94,[        ooo  o        o o o  oo   o         oo  ]
2.94,[o   oo        o    o o  o  o   o  o        o  o ]
2.94,[    oo  o o       o        o  o  o o o  o      o]
2.94,[   oo o         o   o  o   o      o     o   oo o]
2.94,[oo   o        o  o  o     o    ooo          o o ]
2.94,[      o oo          o    oo o  o     o  o o    o]
2.94,[   ooo  oo         o o  o      o    oo    o     ]
2.94,[oo   o     oo              o   o  o  o   oo   o ]
2.94,[      o   o o   oo o          o   o o     o o o ]
2.94,[o         o   ooo  o     o    o    o     o   oo ]
2.94,[  o oo  o        oo   o  o     o        o   o o ]
2.94,[    o    o   o     o     oo  o o o o   o      o ]
2.94,[oo    o       o  o  o   oo o          o     o o ]
2.94,[   oo        o o o o o            o     o o  o o]
2.95,[     o    o o   o o  o       o o  o o      o o  ]
2.98,[ o      o   oo   oo    o   o  o o    o o        ]
2.98,[  oo     o     o    o    o  o  o  oo o       o  ]
2.98,[  o    o o o   o    o   o  o     o       o    oo]
2.98,[ o o   o   o o     o   o o        ooo        o  ]
2.99,[  o          o o o  o     o       o  oo o o   o ]
2.99,[o           o o oo oo           o   oo o o      ]
2.99,[         o   o oo    o o o o o     o  o   o     ]
2.99,[ o   o   o    oo o         o   o    o  o o  o   ]
2.99,[o        o  oo   o      o    oo       o  oo   o ]
2.99,[ o   oo    oo o            ooo   o       o     o]
2.99,[ oo  o    o      o         o  o  o  o o    o   o]
2.99,[ o      oo   o o    o      o  o ooo            o]
3.01,[oo           o    o    oo  o oo       o o   o   ]
3.01,[ o  oo    o  o       o    o      o oo  o       o]
3.01,[o    oo      o  o o   o   o        o   o  o o   ]
3.01,[   o   o   o  o  o   o     o o       o  o  o  o ]
3.01,[oo    o   o o o          o   o  o        o   o o]
3.01,[o   o     o    o    o   o    oo   o    o  o   o ]
3.01,[ o    ooo        oo   o    oo  o         o  o   ]
3.03,[ o o   o      o   o   o    ooo          o o   o ]
3.03,[o     o       o    oo o   o  o  o   o    o    o ]
3.03,[ o      o oo  o        o        o o oo o      o ]
3.03,[o     o  o       o o   o  o  o   o  o       o  o]
3.03,[ o    o o oo  o          o       o  oo o      o ]
3.03,[    o      o o  o  o  o    o         o ooo o    ]
3.06,[  o   oo o oo    o          o        o   o   oo ]
3.06,[   o   o  o  o         o oo o        o   o   oo ]
3.06,[  oo o           oo    o    o   o  o       o o o]
3.06,[   oo o  o         o   o   o     o    o   o  oo ]
3.06,[o  oo o       o o o        o o o  o            o]
3.06,[ o  o  o o    o         o o o    o  o o o       ]
3.06,[        o   o o   o o  o o     ooo   o         o]
3.06,[ o o  o      oo  o      o   o      o o     o   o]
3.06,[o   o    o     o    o    oo o o          o  oo  ]
3.06,[      o o  oo   ooo          o     o   o o  o   ]
3.06,[o    o o o   o     o     o  o       o    o  o o ]
3.06,[o  o  o o         o ooo            o     o   o o]
3.06,[    o   o o o       o  o o        ooo         oo]
3.06,[ o o o               oo  o  o o    o o   o   o  ]
3.06,[oo  o o             ooo   o     o  o   o  o     ]
3.06,[ oo  o     o    o    o     o  o   o oo    o     ]
3.06,[o  o   oo    o           oo  o   o o         o o]
3.06,[   o   o  o  o  o  oo        o   o   o oo       ]
3.06,[    o   o o  o   o      o   ooo      o     o  o ]
3.06,[  o    o  o          o    o   o o  oo o    o o  ]
3.06,[ o o  oo o       o        o   o  o         ooo  ]
3.06,[   o  oo  o     o       o o  oo   o     o   o   ]
3.06,[       o o  ooo     o    o        o o    o   oo ]
3.06,[o         o    oo   oo        oo  o      oo  o  ]
3.06,[o      o  o o  o     o oo         o     o  o  o ]
3.06,[         o  oooo  o  o  o       oo   o         o]
3.06,[ o      o  o o   o   o o      o   o o   o   o   ]
3.06,[ oo o  o   o     o   o  o      o   o       o   o]
3.06,[     o o  oo        o    o  o  o     o   ooo    ]
3.06,[    o  o  o     o  o  o     o o       o   oo   o]
3.06,[ o  oo  o        ooo o         o          o o  o]
3.06,[    o  o  o     o  o    o o    o     o o  oo    ]
3.06,[    o    o o o o  o           o oo o      o  o  ]
3.06,[ oo o        o   o  o      o     o  o  o   o   o]
3.06,[  o o  o  oo          o o  o        o  oo   o   ]
3.06,[o o o o               o   o o o     o     oo o  ]
3.06,[  o  o     o         o  o  o  ooo      o o  o   ]
3.06,[       oo  o  o  o    o   o  o     o  o  o o    ]
3.06,[ o   o o   o     ooo  o o        o   o       o  ]
3.06,[   o  o    o    o o  oo o         o   o o      o]
3.06,[o  o o  o             oo     o  o o   oo    o   ]
3.06,[o        oo  oo     o  o      o o o    o      o ]
3.06,[ o     oo oo  o         oo   oo            o  o ]
3.06,[ o  o  o o    o  o     o    o  o    o    o   o  ]
3.08,[  o  oo     o    o    o o o       o o     o  o  ]
3.08,[oo     o     o o o        ooo   o           o  o]
3.08,[oo   o         o   o        oo  oo     o   o o  ]
3.08,[ o    o       o  oooo  oo    o     o   o        ]
3.08,[  o o     o   o     o  o  o   o o        o o  o ]
3.11,[o   o  o      o o         o o  ooo           oo ]
3.11,[  o o  o   o            o o  o  o  o   o o    o ]
3.11,[o   o    o    o o     o   o  o  o  o          oo]
3.11,[    o     o   o     o  o oo o o o        o     o]
3.11,[     o   o oo   o     o         oo   oo    o o  ]
3.11,[      o o o    o  o         o o o  oo   o    o  ]
3.11,[   o  oooo         oo         o       o o  o   o]
3.11,[  o    o oo   o     o o  o   o    o   o o       ]
3.11,[o      o  oo     o     o   o      o  o    oo o  ]
3.11,[ o  oo  o           o    o  o  o    o  o  o    o]
3.11,[ o oo  o o      o     o     o     oo          oo]
3.11,[      o   o o o o   o o o    o            o o  o]
3.11,[ o   oo o    o         o   o    oo  o  o   o    ]
3.11,[      o o o o o      o o    o     o  o  o o     ]
3.11,[      o o o       ooo          o o     o   ooo  ]
3.11,[  o o    o  o     o    o oo           o o    o o]
3.11,[       oo    o   ooo o          o   o o      oo ]
3.11,[ o o        o   o     o      oo  oo   o   o    o]
3.11,[    o o o o   o            o    o o   o o  o o  ]
3.11,[   o  o  oo       o o    o    o       o  o  o  o]
3.11,[       oo o   o o          o  oo  o o   o      o]
3.11,[  o     o o  o o  o      o  o          o o o   o]
3.11,[o o          o o o   o    oo        o o oo      ]
3.11,[o  o  o             o     o   ooo  o    o o  o  ]
3.11,[oo     o   o o    oo           o  o       oo o  ]
3.11,[  o   o   o oo        o  o         oo  oo o     ]
3.16,[   o   ooo     o   o      o        o o   o o  o ]
3.16,[ o o  o o          oo          oo  o o      o o ]
3.16,[      o oo  o   o oo  o        o     o   o o    ]
3.16,[  o  o oo          o   o     o  o   oo   o o    ]
3.16,[   o o o o  o   o        o   o    o   o     o o ]
3.16,[ o   o   o      o o o o           oo o o    o   ]
3.16,[    o  oo oo          oo o o o             o o  ]
3.16,[o   o o   o   o         o o  o     oo o       o ]
3.16,[   o oo        oo   o   o   o      o     o  o  o]
3.16,[  oo o      o     o  o oo    o      o    o   o  ]
3.19,[o o o  o         oo   o o      o  o        oo   ]
3.19,[o      o  o    o   o o       o  o o   ooo       ]
3.19,[    o  o  oo    o      oo         o o ooo       ]
3.19,[   o o oo   o      o        o  o        oo  o o ]
3.19,[   o    o   o o   o            oo  o o  o o  o  ]
3.19,[  oo   o         o o   oo    o        o  o o   o]
3.19,[o      oo  oo      o    o            ooo  oo    ]
3.19,[o   o  o  o      o   o o oo            o  oo    ]
3.19,[    o   o   o  o   o     oo o   o        o    oo]
3.19,[o  o   o o    o    o o      o  o         o o   o]
3.19,[ o o o  o     o   o    o      o  o o    o    o  ]
3.19,[oo           o  o   o  o   o  o   ooo          o]
3.19,[  o      o ooo o  o     o     o     o   o  o    ]
3.19,[o   o   o   o  o   o   o       o  o      o o o  ]
3.19,[o      o    o       o    o o  oooo   o    o     ]
3.19,[ o    o o        oo   o    o o    o   oo     o  ]
3.19,[  o o  o o    o     o   o    o  o o           oo]
3.19,[  o   o   o      o o o o     o  oo   o      o   ]
3.19,[  oo           oo   o        oo o  o   oo     o ]
3.19,[o   o            o    oo oo   o  o         oo  o]
3.20,[o   o o             o  oo o o o    o    o   o   ]
3.24,[  o oo     o  o  o      o    oo   o     o    o  ]
3.24,[   o   oo  oo  o      o  o      o o  o      o   ]
3.24,[oo  o         o   o  o    o          oo o  o   o]
3.24,[o      o  o          ooooo  o     o  o  o       ]
3.24,[o   o o   o  o    o    o         o o   o oo     ]
3.24,[   oo   o   o          o oo           oo  ooo   ]
3.24,[   o      o o  o oo     o    o o     o     o   o]
3.24,[o          o o  o o  o o          o   o o  oo   ]
3.24,[o o  oo      o     o   o  o       o     o   oo  ]
3.24,[  o o o     o           oooo  o         o   o  o]
3.24,[      ooo o     o o  o     o  o  o o        o   ]
3.24,[o    o o o o  o     o   o o    o   o         o  ]
3.24,[  o  o   o   o   o o   o   o      o   oo      o ]
3.24,[o    o   ooo          o     o        ooooo      ]
3.24,[   o         o oo o  o oo    o    o   o    o    ]
3.24,[oo  o  o         o  o     o   o  o  o      o   o]
3.24,[o  o     o   o o     o    o  o  o o         o  o]
3.24,[ o         o oo  o  o   o     o o   o     o  o  ]
3.24,[ o o o   o  o             o o  o o     oo     o ]
3.24,[o o o         o   o  o  oo    o       o    o   o]
3.24,[ o oo  o     o    o    o o o        o      o o  ]
3.24,[  o        ooo o o          o oo         o o o  ]
3.24,[ o  o          oo o o         o  o o  ooo       ]
3.24,[o      o  oo    o   o o      o  o  o   o       o]
3.24,[  o         o  oo      o  o    ooo ooo          ]
3.24,[  o o    o o o o                 oo o   o   o o ]
3.24,[  o o  o o    o     oo   o o      o   o       o ]
3.24,[  o o o       o         ooo      o  o      o o o]
3.24,[ oo o           o o  oo       o o  o  o        o]
3.24,[o o    o      o   o  o oo         o   o    o  o ]
3.24,[ oo          o  o o  ooo   o    o          o  o ]
3.24,[o      oo  oo      o            o   oo o o o    ]
3.24,[  o o o   o o           oo  o          o  o  o o]
